,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
21,0.10854935646057129,0.008728969547762649,0.0031821727752685547,0.0001213549162408581,0.01,0.1,6,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9374868782554846,0.9059430992798176,0.9360935402806158,0.9193292670593978,0.889511493499736,0.9176728556750102,0.01824998803008153,11,-4.065125805438124,-4.99027232113436,-4.3271508104271685,-4.6220174039803705,-5.789645075712817,-4.758842283338568,0.6004057605098582,11
57,0.13325819969177247,0.022373992197024482,0.003428030014038086,0.00025856951181475816,0.1,0.1,6,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9363318506332812,0.9063855114429714,0.9354498417119461,0.921289505619043,0.8877883911924083,0.9174490201199299,0.018425494987509637,12,-4.1025086951416325,-4.978522202766193,-4.3488888471866884,-4.565516273931608,-5.834616069459437,-4.766010417697112,0.6068776054321108,12
56,0.16248698234558107,0.026728148288548387,0.0034173965454101563,0.0005340726373467654,0.1,0.1,3,300,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",0.9431171420196522,0.9086740882661439,0.9337267558944823,0.9158360242286433,0.8812215279154247,0.9165151076648692,0.021501109634844143,13,-3.8777437031045485,-4.917291135638422,-4.406550655778308,-4.7210293066958595,-6.002915865340206,-4.785106133311468,0.7030291725518332,13
20,0.1329956531524658,0.00931072462023858,0.0030178546905517576,3.7500567198322e-05,0.01,0.1,3,300,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",0.9436356643656725,0.9086772034804517,0.9336949739061634,0.9144494370816002,0.8791089192946832,0.9159132396257142,0.022332862957963984,14,-3.860029227921576,-4.91720726816837,-4.407607131562168,-4.759759516287738,-6.056064880857751,-4.8001336049595205,0.7253375698909079,14
19,0.08802366256713867,0.006947307447679309,0.0029659271240234375,3.473685878443369e-05,0.01,0.1,3,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9382771158915848,0.9012219448762252,0.929672484217526,0.9097186004166167,0.8728596188431985,0.9103499528490303,0.022989262421427348,15,-4.03935015905575,-5.11398146067097,-4.539335583087375,-4.889593065263766,-6.210622664184321,-4.958576586452436,0.7235010747217009,15
55,0.11163969039916992,0.024696727553291706,0.004393291473388672,0.0024156371519427127,0.1,0.1,3,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9386342929943868,0.9012219448762252,0.9304843288312828,0.9081734558065488,0.8728598561331589,0.9102747757283206,0.023233311242044096,16,-4.027645774939099,-5.11398146067097,-4.513059009041393,-4.931257660919681,-6.210616868546933,-4.959312154823615,0.7290565477263545,16
64,0.13368668556213378,0.02205812456791545,0.008251571655273437,0.010536010455602693,0.1,1,3,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 200}",0.9160479577704355,0.8942227311377637,0.9089800202387858,0.9158211338948367,0.876081965296739,0.9022307616677121,0.015290871272045458,17,-4.710901564321694,-5.292064010073921,-5.164140139647658,-4.721446911690409,-6.13141409374087,-5.2039933438949095,0.5187378007608091,17
65,0.2121605396270752,0.04927723679501101,0.003071117401123047,8.168060459276765e-05,0.1,1,3,300,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 300}",0.9159918816303483,0.8963486817694931,0.9090341790911586,0.9151528087787628,0.8739292715307125,0.9020913645600949,0.015736011330318676,18,-4.712474635509278,-5.238613149222151,-5.1626035236153225,-4.740152457189322,-6.184441993453409,-5.207657151797896,0.5330784358789826,18
63,0.0729334831237793,0.0295078439927341,0.009037351608276368,0.010807605750383831,0.1,1,3,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}",0.918553335163263,0.8871565521758749,0.9131063535019149,0.9141639873789266,0.8728947921266415,0.9011750040693242,0.017940816922995904,19,-4.640075525155298,-5.465968032161675,-5.045726002028477,-4.76769365743375,-6.209763522895804,-5.225845347935001,0.5676664714525128,19
28,0.08623151779174805,0.0065449700191345965,0.0029621124267578125,2.3006095750838637e-05,0.01,1,3,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 200}",0.9176031340958367,0.8866245055306075,0.9047064422535908,0.9142483155291543,0.8753239025737867,0.8997012599965952,0.016262858498070284,20,-4.667063860003011,-5.47883865137844,-5.283983133367246,-4.7653511116289495,-6.150139816998061,-5.269075314675141,0.5360323538794215,20
